bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;tahap_kegiatan;jumlah_perusahaan;satuan;;;
11;Aceh;1101;Kabupaten Simeulue;2024;Eksplorasi;1;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2024;Eksplorasi;2;Unit;;;                                                                                                                                                                   
11;Aceh;1103;Kabupaten Aceh Selatan;2024;Eksplorasi;9;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2024;Eksplorasi;4;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2024;Eksplorasi;5;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2024;Eksplorasi;4;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2024;Eksplorasi;7;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2024;Eksplorasi;7;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2024;Eksplorasi;9;Unit;;;
11;Aceh;1110;Kabupaten Bireuen;2024;Eksplorasi;7;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2024;Eksplorasi;2;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2024;Eksplorasi;6;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2024;Eksplorasi;1;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2024;Eksplorasi;6;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2024;Eksplorasi;8;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2024;Eksplorasi;13;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2024;Eksplorasi;1;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2024;Eksplorasi;;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2024;Eksplorasi;;Unit;;;
11;Aceh;1172;Kota Sabang;2024;Eksplorasi;;Unit;;;
11;Aceh;1173;Kota Langsa;2024;Eksplorasi;2;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2024;Eksplorasi;1;Unit;;;
11;Aceh;1175;Kota Subulussalam;2024;Eksplorasi;3;Unit;;;
11;Aceh;1101;Kabupaten Simeulue;2024;Operasi Produksi;2;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2024;Operasi Produksi;5;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2024;Operasi Produksi;8;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2024;Operasi Produksi;3;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2024;Operasi Produksi;13;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2024;Operasi Produksi;8;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2024;Operasi Produksi;14;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2024;Operasi Produksi;21;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2024;Operasi Produksi;24;Unit;;;
11;Aceh;1110;Kabupaten Bireuen;2024;Operasi Produksi;20;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2024;Operasi Produksi;8;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2024;Operasi Produksi;7;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2024;Operasi Produksi;1;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2024;Operasi Produksi;35;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2024;Operasi Produksi;17;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2024;Operasi Produksi;15;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2024;Operasi Produksi;5;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2024;Operasi Produksi;10;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2024;Operasi Produksi;;Unit;;;
11;Aceh;1172;Kota Sabang;2024;Operasi Produksi;;Unit;;;
11;Aceh;1173;Kota Langsa;2024;Operasi Produksi;6;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2024;Operasi Produksi;3;Unit;;;
11;Aceh;1175;Kota Subulussalam;2024;Operasi Produksi;8;Unit;;;
11;Aceh;1101;Kabupaten Simeulue;2024;Operasi Produksi 1;1;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2024;Operasi Produksi 1;;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2024;Operasi Produksi 1;;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2024;Operasi Produksi 1;;Unit;;;
