bps_kode_provinsi;bps_nama_provinsi;tahun;kwh_dibangkitkan;satuan
11;Aceh;1968;8832;kwh
11;Aceh;1969;10796;kwh
11;Aceh;1970;13140;kwh
11;Aceh;1971;14218;kwh
11;Aceh;1972;15195;kwh
11;Aceh;1973;17321;kwh
11;Aceh;1974;18988;kwh
11;Aceh;1975;21351;kwh
11;Aceh;1976;24842;kwh
11;Aceh;1977;24924;kwh
11;Aceh;1978;34924;kwh
11;Aceh;1979;42077;kwh
11;Aceh;1980;52253;kwh
11;Aceh;1981;63472;kwh
11;Aceh;1982;70905;kwh
11;Aceh;1983;84726;kwh
11;Aceh;1984;97515;kwh
11;Aceh;1985;106247;kwh
11;Aceh;1986;124035;kwh
11;Aceh;1987;146528;kwh
11;Aceh;1988;173745;kwh
11;Aceh;1989;208766;kwh
11;Aceh;1990;238812;kwh
11;Aceh;1991;262158;kwh
11;Aceh;1992;288117;kwh
11;Aceh;1993;30912;kwh
11;Aceh;1994;331799;kwh
11;Aceh;1995;394078;kwh
11;Aceh;1996;446688;kwh
11;Aceh;1997;481984;kwh
11;Aceh;1998;532271775;kwh
11;Aceh;1999;126286085;kwh
11;Aceh;2000;150632675;kwh
11;Aceh;2001;157396098;kwh
11;Aceh;2002;163061383;kwh
11;Aceh;2003;202674208;kwh
11;Aceh;2004;208461266;kwh
11;Aceh;2005;147192772;kwh
11;Aceh;2006;170100948;kwh
11;Aceh;2007;211376016;kwh
11;Aceh;2008;238609598;kwh
11;Aceh;2009;288324687;kwh
11;Aceh;2010;206987102;kwh
11;Aceh;2011;104820968;kwh
11;Aceh;2012;93723042;kwh
11;Aceh;2013;74113439;kwh
11;Aceh;2014;86643402;kwh
11;Aceh;2015;82906147;kwh
11;Aceh;2016;2398972507;kwh
11;Aceh;2017;2684468175;kwh
11;Aceh;2018;2853440542;kwh
11;Aceh;2019;3164414703;kwh
11;Aceh;2020;3351151792;kwh
11;Aceh;2021;3088462646;kwh
11;Aceh;2022;3580232811;kwh
11;Aceh;2023;3895093332;kwh
11;Aceh;2024;4162316385;kwh
